"term","estimate","Odds_Ratio","p.value"
"(Intercept)",-64.3642319576587,1.11421558505946e-28,0.954811410982589
"Recognition.Gift.Total",5.79514905270116e-06,1.00000579516584,0.999866535859437
"Current.Consecutive.Giving.Streak",42.7764911131987,3780890028934615552,0.955087050874055
"Recognition.Gift.Total.This.Year",-2.88761807976889e-05,0.999971124236115,0.999885724422128
"Recognition.Gift.Total.Last.Year",3.19658903116896e-05,1.00003196640123,0.999918679823387
"Recognition.Gift.Total.Two.Years.Ago",2.61353828233645e-05,1.00002613572436,0.999933217576816
"Recognition.Gift.Total.Three.Years.Ago",7.81809445349529e-06,1.00000781812501,0.999983170227486
"Recognition.Gift.Total.Four.Years.Ago",5.12687940330638e-05,1.0000512701083,0.999904210487584
"Recognition.Gift.Total.Five.Years.Ago",4.82602133875633e-07,1.00000048260225,0.999999093213591
"Recognition.Gift.Total.Six.Years.Ago",1.43392481238526e-05,1.00001433935093,0.999961649690939
"Recognition.Gift.Total.Seven.Years.Ago",2.91395294117568e-05,1.00002913995397,0.999926981168788
"Recognition.Gift.Total.Eight.Years.Ago",3.08228510722312e-05,1.0000308233261,0.999938490476056
"Recognition.Gift.Total.Nine.Years.Ago",2.13044668220944e-05,1.00002130469376,0.999951345542213
"Recognition.Gift.Total.Last.Ten.Years",-3.28280607260918e-05,0.999967172478109,0.999917113130347
